id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
9jdk0x5pw46k,0j2y8r0pmezy,Macbook pro M1 max 16 pulgadas,"macbook pro M1 max, 32gb ram 1tb ssd de almacenamiento, comprado en Agosto de 2022, esta muy bien cuidado soy ingeniero y necesito renovarlo ya, incluye la caja y sus accesorios originales.La bateria esta de salud normal al 92%. Casi siempre ha estado en mi casa y se ha movido poco, el estado es impecable, por favor no me interesan cambios ni ofertas absurdas y sou preferencia a entrega en mano en Madrid para probarlo y que se compruebe que todo esta correcto os puedo ayudar a configurarlo. Si hay que enviar solo se envia previo pago adelantado. ","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24202, 'name': 'Computing: computers & tablets', 'icon': None}, {'id': 10310, 'name': 'Laptops', 'icon': None}]",1600.0,EUR,True,False,https://es.wallapop.com/item/macbook-pro-m1-max-16-pulgadas-1091263260,Madrid
wzv47llrm1zl,3zl4m89ddqjx,Television philips antigua y tdt,"La television funciona correctamente, con tdt incluido ","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 10206, 'name': 'Image: TVs & projectors', 'icon': None}, {'id': 10414, 'name': 'TVs', 'icon': None}]",50.0,EUR,False,True,https://es.wallapop.com/item/television-philips-antigua-y-tdt-1091917365,Madrid
e65813yr006o,p61oy8vd7gj5,Farming Simulator 22 ,Juego de PS4 en perfectas condiciones. Solamente envío. Se hacen lotes ,"[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24203, 'name': 'Gaming: consoles & video games', 'icon': None}, {'id': 24131, 'name': 'Video games & more', 'icon': None}, {'id': 10093, 'name': 'Video games', 'icon': None}]",29.0,EUR,False,True,https://es.wallapop.com/item/farming-simulator-22-1091908724,Madrid
nz04pm55ovjo,k3zl4wkxg4jx,iMac M1 amarillo Apple,"En perfecto estado, poco uso. Como nuevo

No tiene rayones ni marcas de uso.
Se incluye caja original, con todos los cables y accesorios originales. Ratón nunca usado. Teclado con TouchID.
Es el modelo superior, de 8 núcleos y 4 puertos USB-C, con TouchID y puerto Ethernet.

8GB RAM/256GB almacenamiento

SOLO entrega en mano en Madrid ciudad, para que lo puedas probar en persona.

Comprado en Apple Store oficial. Adjunto factura original. Cuesta 1700€","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24202, 'name': 'Computing: computers & tablets', 'icon': None}, {'id': 10309, 'name': 'Desktop Computers', 'icon': None}]",900.0,EUR,False,False,https://es.wallapop.com/item/imac-m1-amarillo-apple-1091845827,Madrid
0j2421ggmezy,mznll7584gjn,Proyector 3000 lumenes,Vendo proyector optoma HD141x. Tiene 3000 lumenes lo que lo hace ideal para ver peliculas con Full HD (1920x1080),"[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 10206, 'name': 'Image: TVs & projectors', 'icon': None}, {'id': 10406, 'name': 'Projectors', 'icon': None}]",190.0,EUR,False,True,https://es.wallapop.com/item/proyector-3000-lumenes-1085715635,Madrid
w674od11896x,ejk499xgx1zx,PIONEER DJ DDJ200,"La vendo porque no le doy el uso que merece y seguro que alguien puede darselo. Se ha usado 4 veces contadas, esta como nueva. ","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24149, 'name': 'Sound: headphones & speakers', 'icon': None}, {'id': 24160, 'name': 'DJ & professional audio', 'icon': None}, {'id': 24168, 'name': 'Mixer / DJ', 'icon': None}]",100.0,EUR,False,False,https://es.wallapop.com/item/pioneer-dj-ddj200-1091845452,Madrid
w674od153w6x,w67d4mnd096x,HUAWEI WATCH 46mm Black,"HUAWEI WATCH 46mm Black
Smartwatch, hasta 2 semanas de batería, iOS & Android, gestión de calorías, Seguimiento Profesional de la Salud, SpO2, GPS, versión española, Negro","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24201, 'name': 'Phones: mobiles & smartwatches', 'icon': None}, {'id': 9487, 'name': 'Smartwatches & activity trackers', 'icon': None}]",130.0,EUR,False,True,https://es.wallapop.com/item/huawei-watch-46mm-black-1091842604,Madrid
0j247yv02nzy,wzvygwd494zl,Krom Kooler - RGB - HUB USB- (19) ventiladores de 2100 RPM - Negro - Base refrigeracion portatil - Reacondicionado,"Este producto es un producto seminuevo que se encuentra en perfecto estado vendido por GAME.
	Todos nuestros productos Seminuevos han sido revisados por nuestro Servicio Técnico propio GAME-SAT.
	Esta 100% garantizado. GAME ofrece un año de garantía en todos sus productos Seminuevos.

	Para adquirir el producto, dirígete a GAME.es y en el buscador incluye el siguiente código V1EMCY.
	Podrás elegir que te lo enviemos a tu domicilio o recogerlo en nuestras más de 220 tiendas con envío GRATIS si eliges tienda.","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24203, 'name': 'Gaming: consoles & video games', 'icon': None}]",24.99,EUR,False,False,https://es.wallapop.com/item/krom-kooler-rgb-hub-usb-19-ventiladores-de-2100-rpm-negro-base-refrigeracion-portatil-reacondicionado-1091818759,Madrid
qjw45qd924zo,nzx5eoleym62,LAPIZ TRADUCTOR,"Lápiz traductor sin estrenar, abierto solamente para comprobar su funcionamiento. ","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24202, 'name': 'Computing: computers & tablets', 'icon': None}, {'id': 10134, 'name': 'Peripherals', 'icon': None}, {'id': 24135, 'name': 'Other computer accessories', 'icon': None}]",40.0,EUR,False,True,https://es.wallapop.com/item/lapiz-traductor-1085950829,Madrid
mzn2klnrqyzn,wzvygwd494zl,Tiny Tina’s Wonderlands,"Este producto es un producto seminuevo que se encuentra en perfecto estado vendido por GAME.
	Todos nuestros productos Seminuevos han sido revisados por nuestro Servicio Técnico propio GAME-SAT.
	Esta 100% garantizado. GAME ofrece un año de garantía en todos sus productos Seminuevos.

	Para adquirir el producto, dirígete a GAME.es y en el buscador incluye el siguiente código 194046.
	Podrás elegir que te lo enviemos a tu domicilio o recogerlo en nuestras más de 220 tiendas con envío GRATIS si eliges tienda.","[{'id': 24200, 'name': 'Technology & electronics', 'icon': 'robot'}, {'id': 24203, 'name': 'Gaming: consoles & video games', 'icon': None}]",12.99,EUR,False,False,https://es.wallapop.com/item/tiny-tinas-wonderlands-1091818749,Madrid
